_id,days,destinations,imageLink,nights,price,titleLink,titleText
64142462f09e1d8dbe995b6c,5,Manali (5N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1484282643/Manali_overview1.jpg,6,5999,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-145-32840&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Sweet Mist Of Manali
64142462f09e1d8dbe995b6d,5,Port Blair (1N) - Havelock (2N) - Neil Island (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1396179020/Domestic%20Holidays/Andaman%20and%20Nicobar%20Islands/Andaman/shutterstock_95292481.jpg,6,24499,https://packages.yatra.com/holidays/dom/details.htm?packageId=2518881956&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,"5 Nights in Andaman - Port Blair, Havelock and Neil Island - Yatra Special"
64142462f09e1d8dbe995b6e,2,Shimla (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1441268120/Shimla_103.jpg,3,7600,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-145-18421&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,The Allure Of Shimla
64142462f09e1d8dbe995b6f,5,Srinagar (1N) - Pahalgam (1N) - Gulmarg (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1398768561/Domestic%20Holidays/Jammu%20and%20Kashmir/Srinagar/128635502.jpg,6,29499,https://packages.yatra.com/holidays/dom/details.htm?packageId=2607631174&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,05 Nights in Kashmir - Standard - Summer Special
64142462f09e1d8dbe995b70,3,Manali (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1517482072/AdvNation/ANN_TRP188/ann_banner_5_trp188_Db8QvW.jpg,4,7750,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-718-36933&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,The Mists Of Manali Tour
64142462f09e1d8dbe995b71,5,Darjeeling (2N) - Sikkim (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1411035718/Domestic%20Holidays/West%20Bengal/Darjeeling/shutterstock_158429462.jpg,6,32999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2608665758&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,05 Nights in Sikkim and Darjeeling - Deluxe - Summer Special
64142462f09e1d8dbe995b72,2,Nainital (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1439533224/246-Nainital-Uttarakhand.jpg,3,9000,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-145-18267&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Glimpses Of Nainital
64142462f09e1d8dbe995b73,4,Gangtok (2N) - Darjeeling (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1578385250/Hotel/00000914/Untitled_Session01246_Ie6DL7.jpg,5,48900,https://packages.yatra.com/holidays/dom/details.htm?packageId=2509835288&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,4 Nights - Gangtok and Darjeeling with Elgin Hotels
64142462f09e1d8dbe995b74,2,Pachmarhi (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1527140528/Pachmarhi_Blog_1527140522.jpg,3,9499,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1659-29820&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Satpura Queen Pachmarhi  Tour
64142462f09e1d8dbe995b75,4,Gulmarg (2N) - Pahalgam (1N) - Srinagar (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1510292692/Hotel/00103442/23_Gulistan_View_qWpQxh.jpg,5,100000,https://packages.yatra.com/holidays/dom/details.htm?packageId=2510725122&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Kashmir with Khyber Himalayan resort & TAJ Dal lake
64142462f09e1d8dbe995b76,2,Varanasi (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1559132267/Hotel/Varanasi/00000461/27647645-H1-008_Holy_Ganga_River_Pnpi7e.jpg,3,9500,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1700-37020&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Varanasi Temple Trip
64142462f09e1d8dbe995b77,1,Dehradun (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1481109919/Kedarnath_Culture.jpg,2,102999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2522797132&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Dodham Yatra by Helicopter 2022
64142462f09e1d8dbe995b78,6,Manali (4N) - Shimla (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1559203253/Hotel/Manali/00153564/12_MP7rpJ.jpg,7,9999,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-145-28253&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Snow Covered Manali-shimla Holiday
64142462f09e1d8dbe995b79,5,Dehradun (1N) - Yamunotri (1N) - Gangotri (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1481109919/Kedarnath_Culture.jpg,6,189999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2489065833&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Chardham Yatra by Helicopter 2023
64142462f09e1d8dbe995b7a,2,Ujjain (1N) - Omkareshwar (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1496121873/Jahaz_Mahal_33.jpg,3,10499,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1659-29796&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Jyotirlingas  Tours
64142462f09e1d8dbe995b7b,2,Amritsar (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1436263714/Wagah_Border_22.jpg,3,12105,https://packages.yatra.com/holidays/dom/details.htm?packageId=2230327175&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Short Trip to Amritsar - Weekend Getaway (Ex Delhi)
64142462f09e1d8dbe995b7c,4,Munnar (2N) - Thekkady (1N) - Alappuzha (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1495109222/Tea_plantations_in_Munnar_Kerala212.jpg,5,10500,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1433-32405&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,"Short Break To Munnar, Thekkady & Alappuzha"
64142462f09e1d8dbe995b7d,5,Cochin (1N) - Munnar (2N) - Thekkady (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1433836175/Kumarakom_2.jpg,6,17499,https://packages.yatra.com/holidays/dom/details.htm?packageId=2519056488&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,"5 Nights In Kerala with Munnar, Thekkady, Alleppey"
